name,globalChannel_fastfood,globalChannel_other,rating,pc4,level_zip,dv
SUBWAY®Restaurants,0,1,4.1,3311,1007,OPERATIONAL
Lunchroom Pub The Deugniet,0,1,4.1,5281,1824,OPERATIONAL
De Kersentuin,0,1,4.4,1077,57,OPERATIONAL
Erol Doner,0,1,4.5,1013,3,OPERATIONAL
Het Kreitenhuys,0,1,4.3,5071,1734,OPERATIONAL
Kavos Wijnbar,0,0,4.6,3541,1105,OPERATIONAL
Koffiehuis Mon Ami,0,0,3.4,3074,886,OPERATIONAL
Grieks Restaurant Alexandros,0,1,2.8,7311,2674,CLOSED_PERMANENTLY
Cafetaria De Brug,0,0,4.4,3331,1018,OPERATIONAL
At Café Mothers,0,0,4.3,4701,1594,OPERATIONAL
Snackbar De Tille,0,1,4.3,8915,3484,OPERATIONAL
Maximas,0,1,3.7,1012,2,OPERATIONAL
Beloofd,0,1,3.7,3111,901,CLOSED_PERMANENTLY
Koffiebar Eef,0,1,4.7,2562,675,OPERATIONAL
Distillery 't Nieuwe Diep,0,0,4.7,1095,69,OPERATIONAL
Chinees-Indisch Restaurant \'Hup-Yuen\',0,1,3.7,6561,2382,OPERATIONAL
Restaurant Alexander,0,1,4.2,2514,647,CLOSED_PERMANENTLY
Maaltijdservice IJsselvallei,1,0,4.9,6975,2553,OPERATIONAL
Indian Restaurant Swagat,0,1,4.4,8261,3134,OPERATIONAL
Bar & Restaurant The Prince,0,1,4.0,5611,1982,OPERATIONAL
Pub Huis Ten Bos,0,0,4.3,4931,1695,OPERATIONAL
Beach Pavilion Flamingo's,0,0,3.8,2555,673,CLOSED_TEMPORARILY
Restaurant De Heerdt,0,1,3.7,3881,1248,OPERATIONAL
Cafe \'de Kleine Witte\',0,0,4.5,2585,688,OPERATIONAL
NINE BAR espresso,0,0,4.3,3011,836,OPERATIONAL
Mr Tasty Efes,0,1,4.8,2611,698,OPERATIONAL
DELICIIS,0,0,4.6,4551,1539,OPERATIONAL
Cafe Thuys,0,0,4.3,1053,34,OPERATIONAL
Restaurant Vlijtig Liesje,0,1,4.1,5611,1982,CLOSED_PERMANENTLY
Café \'Oost-West\',0,0,4.0,1012,2,CLOSED_PERMANENTLY
Chinees Indisch Specialiteiten Restaurant Manchuria,0,1,3.8,7701,2869,OPERATIONAL
Harput,0,1,4.4,2242,547,OPERATIONAL
Coffee Salon,0,0,4.3,1017,7,OPERATIONAL
Harlinger Poffertjeskraam,0,1,4.2,8861,3463,OPERATIONAL
Lunchroom Bart,0,1,4.2,1976,459,OPERATIONAL
Gasterij De Gelegenheid,0,1,4.3,5081,1737,CLOSED_PERMANENTLY
Kafee 8,0,0,4.5,9203,3623,OPERATIONAL
Restaurant \'Montana\' 5% korting via www.pizzeriamontana.nl,0,0,4.1,3053,869,OPERATIONAL
Het Vis & Patathuisje,0,1,4.0,2554,672,CLOSED_PERMANENTLY
New King Tiu,0,1,4.3,7413,2718,OPERATIONAL
De 7e Hemel,0,1,4.3,7411,2716,OPERATIONAL
Taste of Fusion,0,1,4.1,2161,521,OPERATIONAL
In de keuken van Floris,0,1,4.6,3063,876,OPERATIONAL
Bakker Bart,0,1,3.9,4331,1436,OPERATIONAL
V.O.F. Overwijk,0,1,4.2,8721,3390,OPERATIONAL
Van den Pol-Kuipers Holding B.V.,0,1,4.6,3931,1274,OPERATIONAL
Cafetaria Vondelhoek/Eetcafe,0,0,4.3,6901,2523,OPERATIONAL
Café Beuving,0,0,4.5,9953,4027,OPERATIONAL
BP,0,0,4.0,6191,2249,OPERATIONAL
Regional Restaurant De Vechtdalkok,0,1,4.4,8146,3090,CLOSED_PERMANENTLY
Snackbar Barneveld,0,1,4.4,8261,3134,OPERATIONAL
Pizza City Scheveningen,0,1,4.3,2584,687,OPERATIONAL
Het Droomijsje,0,1,4.2,4511,1518,OPERATIONAL
Olive Tree House,0,1,4.1,2011,464,CLOSED_PERMANENTLY
De Oude School Warder - Lunch | Lounge | Diner | Logies,0,1,4.4,1473,234,OPERATIONAL
Horesca Lieferink,0,1,4.3,7391,2710,OPERATIONAL
El Asador,0,1,3.7,1012,2,OPERATIONAL
Ristorante Pizzeria Marea,0,0,4.6,2286,572,OPERATIONAL
Koffie- en Theehuys 'De Korenmolen' In Vaassen,0,1,4.5,8171,3101,OPERATIONAL
Ristorante Pizzeria Piccola,0,0,3.0,5341,1855,CLOSED_PERMANENTLY
Nieuw-Vennep,1,0,5.0,2153,514,OPERATIONAL
Theetuin Aartswoud,0,0,4.7,1719,340,CLOSED_PERMANENTLY
Croque Madame,0,1,4.7,1012,2,OPERATIONAL
Thai Phutakun,0,1,4.6,1017,7,OPERATIONAL
Vlaamse Frites Snackland,0,1,4.3,1012,2,OPERATIONAL
Plein 60,0,0,3.9,4873,1669,OPERATIONAL
Anholts Thermen & Beautycentrum,0,1,4.5,7761,2892,OPERATIONAL
Alberto Pozzetto,0,1,4.7,1073,53,OPERATIONAL
Vandaag Surinaams,0,1,4.0,3641,1149,OPERATIONAL
Kwalitaria,0,1,3.9,1823,404,OPERATIONAL
Chinees restaurant De Draak,0,1,4.1,2032,477,OPERATIONAL
De Weijer,0,1,4.3,5831,2090,OPERATIONAL
Puerto Pata Negra,0,1,3.8,1019,9,OPERATIONAL
Volta,0,0,4.2,1013,3,OPERATIONAL
Vital Palace,0,0,4.7,8011,3031,OPERATIONAL
Restaurant De Molenschuur,0,1,4.4,1831,410,OPERATIONAL
Josy's Ice Cream Bar Amersfoort,0,0,4.6,3813,1210,OPERATIONAL
Restaurant en Loungebar 3 Zussen Meteren,0,1,4.1,4194,1372,OPERATIONAL
De Drie Graefjes Zuid,0,1,4.1,1076,56,OPERATIONAL
Bezorgrestaurant De Beren Zoetermeer,0,1,3.2,2713,739,OPERATIONAL
Domino's Pizza Oosterhout,0,1,3.9,4901,1681,OPERATIONAL
Jack's Rippies,1,0,4.0,3203,950,OPERATIONAL
Ristorante Pizzeria La Traviata,0,0,3.3,1017,7,OPERATIONAL
Café De Hoof,0,0,4.5,6229,2268,OPERATIONAL
Uncle John,0,1,4.8,2545,665,OPERATIONAL
Grand Café-Restaurant Loos,0,1,4.1,3016,841,OPERATIONAL
De Prairie,0,0,3.9,6011,2159,OPERATIONAL
Django Cafe,0,1,4.8,2583,686,CLOSED_PERMANENTLY
Griekse Corner,0,1,4.3,7811,2920,OPERATIONAL
La Cabane de Fabian,0,1,4.7,3036,856,OPERATIONAL
Restaurant Meatcave,0,1,4.8,2311,579,CLOSED_PERMANENTLY
Le Perron,0,1,4.6,6701,2459,OPERATIONAL
Akropolis Heerlen,0,1,4.3,6411,2322,OPERATIONAL
Crust House Pizza,0,1,4.2,2582,685,CLOSED_PERMANENTLY
Keurslagerij Joost van der Veen,0,1,4.5,1404,196,OPERATIONAL
Vis-à-vis,0,1,4.7,3581,1125,OPERATIONAL
Popi Pizza Zuid Nederland BV,0,1,4.1,5041,1715,OPERATIONAL
Restaurant & Catering Moksi Amsterdam,0,1,4.1,1072,52,OPERATIONAL
Grieks Specialiteitenrestaurant \'Zorba De Griek\' V.O.F.,0,1,4.5,3201,948,OPERATIONAL
Snackbar Karst,0,1,4.3,7701,2869,OPERATIONAL
Havencafé Restaurant de Pyramide,0,1,3.8,8721,3390,OPERATIONAL
XOCO,0,1,3.9,3012,837,OPERATIONAL
Eetcafé Bie José,0,1,4.5,6225,2264,OPERATIONAL
De Drie Konijntjes,0,1,2.9,2517,650,CLOSED_PERMANENTLY
Het Zuiderbad,0,1,4.1,2202,531,CLOSED_PERMANENTLY
Puur Frituur,0,1,4.6,8861,3463,OPERATIONAL
Grand Café La Belle,0,1,5.0,1971,454,CLOSED_PERMANENTLY
Victoria Park Drafbaan,0,1,4.3,8472,3275,OPERATIONAL
Café Walduslust,0,0,4.3,7004,2570,OPERATIONAL
\'Ons Thuis\',0,1,4.2,4844,1656,CLOSED_PERMANENTLY
Quality Food De Vier Wieken,1,0,4.1,2291,576,OPERATIONAL
Eetlokaal Koks,0,1,4.2,6512,2360,CLOSED_PERMANENTLY
Eetcafé De kleine wereld,0,1,3.0,8911,3480,CLOSED_PERMANENTLY
Cafe OME JAN,0,1,4.7,6711,2468,OPERATIONAL
Tavola Calda Caprese,0,1,4.5,1012,2,OPERATIONAL
Het zwarte schaap,0,0,4.5,3901,1261,OPERATIONAL
Easy & Fresh Falafel,0,1,4.5,1102,74,OPERATIONAL
IJssalon Da Vinci Amsterdam,0,1,4.6,1076,56,OPERATIONAL
Eetcafé de Driesprong,0,1,4.4,9164,3611,OPERATIONAL
Kwalitaria Ommen,0,1,4.0,7731,2877,OPERATIONAL
Tapperij \'De Luifel\' B.V.,0,0,3.9,3512,1089,OPERATIONAL
Wok N Roll,0,1,2.7,8011,3031,CLOSED_PERMANENTLY
Osteria Liz,0,1,4.7,3037,857,OPERATIONAL
Stuyvesant wijnlokaal,0,1,4.2,1013,3,CLOSED_PERMANENTLY
Croy to go,0,1,4.4,5611,1982,CLOSED_PERMANENTLY
Eetcafé Cliché,0,1,4.4,9351,3701,OPERATIONAL
Restaurant 't Hart,0,1,3.7,5141,1764,OPERATIONAL
Ridderhof snackbar,0,0,4.5,2152,513,OPERATIONAL
Residence Rhenen,0,1,4.5,3921,1270,OPERATIONAL
Café Jong Belegen,0,1,4.5,1811,395,OPERATIONAL
Chinees-Indisch Restaurant Ni-Hao,0,1,4.3,1777,376,CLOSED_PERMANENTLY
Eethuis de Heerlijkheid van Bakkum,0,1,4.0,1901,427,CLOSED_PERMANENTLY
Jiu.nu the wine restaurant,0,1,4.6,5611,1982,CLOSED_PERMANENTLY
De Rooie Kater Beilen,0,1,4.2,9411,3722,OPERATIONAL
Pizzeria Jacqueline,0,0,4.085146853146845,2613,700,CLOSED_PERMANENTLY
Cafe Sandro,0,0,4.2,1015,5,OPERATIONAL
Cafetaria Vuurens,0,1,4.5,6511,2359,OPERATIONAL
De Blauwe Engel,0,1,4.0,1077,57,OPERATIONAL
De Bisschop Deventer,0,0,4.4,7411,2716,OPERATIONAL
Restaurant Nightshades,0,1,3.5,3222,963,CLOSED_PERMANENTLY
De Poosthoorn,0,1,4.1,3417,1054,OPERATIONAL
Café Daen,0,1,4.3,6511,2359,OPERATIONAL
Ons Jongens,0,1,4.7,5712,2047,OPERATIONAL
Chitir Chicken,0,1,4.0,5611,1982,OPERATIONAL
Kahuna Breda,0,1,4.6,4835,1650,OPERATIONAL
Theehuis de Bosrand,0,1,4.4,9331,3692,CLOSED_PERMANENTLY
Eethuis-cafetaria de Heikant,0,1,4.4,6581,2395,OPERATIONAL
Maxifood B.V.,0,0,4.263829223017799,5647,2007,OPERATIONAL
Plaza Vorden,0,1,4.4,7251,2665,OPERATIONAL
Sjiek Kookpunt,0,1,4.6,6221,2260,OPERATIONAL
IJssalon Escobar,0,0,4.7,5021,1706,CLOSED_PERMANENTLY
Restaurant Scherp,0,1,4.7,4331,1436,OPERATIONAL
Café Thuis,0,1,4.5,5741,2056,OPERATIONAL
ROOK BAR BQ Restaurant,0,1,4.0,2809,771,CLOSED_PERMANENTLY
The 7 Hill Ranch,0,1,5.0,5048,1722,CLOSED_PERMANENTLY
Grand Cafe Levels,0,1,4.4,8861,3463,OPERATIONAL
Café de Stilo,0,0,3.9,8022,3040,OPERATIONAL
Echt Welschap Lunchroom & Tapasbar,0,1,4.5,5658,2015,OPERATIONAL
Het Prentenkabinet,0,1,4.4,2311,579,OPERATIONAL
De Verwennerij,0,1,4.1,5531,1964,CLOSED_PERMANENTLY
De Graaf's Vishandel (Tico),0,1,4.4,3751,1184,OPERATIONAL
Pizzeria-Grillroom Amon,0,0,4.2,6031,2173,CLOSED_PERMANENTLY
Pizzeria Romana,0,0,4.4,9101,3568,OPERATIONAL
Recreatiecentrum Dúndelle Bakkeveen,0,1,4.3,9243,3643,OPERATIONAL
Snackpoint Beersdal,0,1,4.2,6413,2324,OPERATIONAL
De Beeksehoeve,0,1,4.5,6731,2477,OPERATIONAL
De Gordiaan Kitchen-bar,0,1,4.7,8224,3116,OPERATIONAL
De Koffiemuuèle,0,1,4.2,6367,2316,OPERATIONAL
Koreaans Restaurant Kimchi House,0,1,3.6,2512,645,OPERATIONAL
"MoYi Cafetaria, Sushi & Meer",0,1,3.8,3641,1149,OPERATIONAL
Kek - De koffiebar van Delft,0,1,4.7,2611,698,OPERATIONAL
Restaurant De Waaghals,0,1,4.5,1072,52,OPERATIONAL
Doormeal,0,1,4.2,1021,10,OPERATIONAL
Reitz,0,1,4.1,6211,2251,OPERATIONAL
Visrestaurant Blini,0,1,4.4,4835,1650,CLOSED_PERMANENTLY
Bar Florian,0,1,4.0,6811,2483,OPERATIONAL
Rauwerda's Visplaza,0,1,4.7,9231,3640,CLOSED_PERMANENTLY
Kiplekker,0,1,3.7,3925,1272,CLOSED_PERMANENTLY
Famous Burger,0,1,3.5,1012,2,OPERATIONAL
Beers Danscafé Persee,0,0,4.2,7411,2716,OPERATIONAL
Stop 23 Coffee & More,0,0,4.085146853146845,3011,836,CLOSED_PERMANENTLY
Restaurant Faulk,0,1,4.4,1406,198,OPERATIONAL
De Smidse,0,1,4.3,1211,115,OPERATIONAL
Restaurant Hof Van Alkemade,0,1,4.0,2371,604,CLOSED_PERMANENTLY
Grieks Restaurant Athene,0,1,3.3,5521,1958,CLOSED_PERMANENTLY
